Item Code,Case Weight,Cases Shipped,Cases Damaged
000111,37.25,42,0
000220,16.94,664,1
000616,4.5,529,0
000994,17.5,805,0
001042,33.44,67,0
001048,39,3007,0
001052,23.47,375,0
001077,29.2,3563,0
001215,23.5,341,0
001510,8.14,84,0
001511,4.45,88,0
001577,38,2,0
001584,17.4,14,0
001585,22.88,1,0
001587,40,381,0
001621,8.32,104,0
001632,8.5,101,0
001635,20.81,6820,0
001761,21.3,1056,1
001764,17.2,15,0
001779,36,141,0
002107,42,35523,7
002108,12.95,1226,0
002137,43.5,55,0
002299,31,1697,0
002369,11,303,0
002503,11.5,714,0
002505,11,333,0
002508,23.21,25,0
002512,28,126,0
002679,20.25,148,4
002680,20.25,122,1
002681,20.25,122,0
002682,20.25,105,0
002683,20.25,118,0
002684,20.25,144,0
002685,20.25,132,0
002687,20.25,294,1
002854,6.8,7,0
002855,13.8,6,0
002862,11.1,405,0
002869,4.68,157,0
002885,17.8,88,0
002920,36.94,208,0
002978,3.2,3815,1
002980,18.31,7192,0
003006,20,1290,0
003007,17.3,394,0
003039,22.7,3391,0
003040,25.5,271,0
003078,34.34,740,2
003098,8,386,0
003099,10.35,407,0
003138,14.41,70,0
003157,24.9,1,0
003166,4.55,92,0
003169,7.3,1,0
003402,13.07,65,0
003406,31.87,465,0
003470,17.5,1716,0
003600,23.7,25,0
003731,24.82,5,0
003755,21,41,0
003855,16.25,360,0
003868,21.19,573,0
003870,6.6,578,0
003940,4.5,38,0
004002,17.4,366,0
004024,30.94,18,0
004133,16,978,0
004148,31.5,703,0
004218,35.73,7400,0
004280,15.9,211,0
004290,5.24,2312,0
004341,7.06,60,0
004789,24.94,179,0
004904,20.9,129,0
005000,40.4,6,0
005001,37.3,9,0
005082,10.5,13650,19
005177,10,3195,0
005241,23.7,103,1
005270,12.4,102,1
005271,12.8,128,0
005272,12.8,84,0
005273,10.3,54,0
005274,16.3,116,0
005456,27,87,0
005512,24,236,0
005536,34,111,0
005616,9.5,114,0
005617,7.3,138,0
005622,23.5,485,0
005689,32,6173,0
005699,18.5,150,0
005700,20,130,0
005701,24.14,231,0
005703,24.53,12,0
005712,18.58,49,0
005717,36.6,247,0
005724,4.74,17,0
005758,19.6,672,0
005759,8,328,0
005794,11.32,5658,0
005795,13.77,6467,1
005812,5.88,10,0
005813,6.26,63,0
005823,33.5,18,0
005883,26,417,0
005898,28.5,1926,0
005921,25,233,0
005930,26.12,97,0
005931,31.72,206,0
005951,3.5,874,0
005954,3.5,287,0
005956,3.5,3919,0
005957,3.6,1318,0
005958,3.5,2400,0
005959,3.6,2178,0
005961,2.8,1920,0
005963,1.8,151,0
005964,1.7,856,0
005965,3.8,780,0
005966,3,3705,0
005969,1.7,1517,0
005970,1.6,417,0
005971,1.7,271,0
005972,1.6,1894,0
005973,1,213,0
005974,1.7,694,0
005975,1.7,187,0
005976,1.7,293,0
005977,1.6,663,0
005978,1.7,626,0
006025,5.9,852,0
006121,11,1634,1
006215,29,2416,0
006263,22.6,6439,0
006265,17,66,0
006266,21,22,0
006296,23.4,523,0
006297,31.65,1025,0
006318,42,175,0
006329,32,4832,0
006330,32,1683,0
006342,26,1001,0
006343,31.5,437,0
006363,11.5,716,0
006364,12.4,2082,0
006365,13,892,0
006472,11.33,209,0
006475,21.5,38,0
006498,11,45,0
006505,41.5,63,0
006531,22,79,0
006532,22,44,0
006827,43.45,1459,0
007065,26,5248,0
007069,12.6,79,0
007131,20,1,0
007142,34.4,135,0
007278,7,147,0
007312,13.5,73,0
007367,41.75,496,0
007388,3.2,489,0
007430,12.97,42,0
007447,40.9,952,1
007456,8.05,40,0
007535,18,394,0
007537,26,7047,0
007616,24.9,589,0
007672,5,547,0
007673,29.5,424,0
007683,32.4,2160,0
007706,12.7,3484,0
007724,0.06,229,1
007751,32.5,181,0
007769,3.9,477,0
007799,14.72,259,0
007836,13.54,196,0
007904,1.65,121,0
007905,1.15,215,0
008047,9,1287,0
008122,10.2,1752,0
008128,34.4,4,0
008326,7.25,8,0
008327,6.85,8,0
008397,18,693,0
008418,32.06,8445,0
008439,34.4,97,0
008446,32,441,0
